event_id,title,category,description
EVT001,Creative Mindfulness Studio,Aesthetics & Spirituality,"Guided journaling, drawing, and mindfulness exercises focused on creativity and reflective wellbeing."
EVT002,Campus Film and Culture Circle,Aesthetics & Spirituality,"Discussion-based screenings exploring film, culture, interpretation, and artistic expression."
EVT003,Student Innovation Hackathon,Future Skills & Intelligence,"A team challenge involving prototyping, coding, data use, experimentation, and presentation."
EVT004,Practical Data Skills Workshop,Future Skills & Intelligence,"Hands-on training in data analysis, visualisation, and problem solving for beginners."
EVT005,Community Learning Volunteer Day,Humanity & Love,"A service programme supporting local families through learning activities, conversation, and teamwork."
EVT006,Peer Support Training,Humanity & Love,"Training focused on empathy, listening, communication, and responsible peer support."
EVT007,Interfaculty Debate Challenge,Igniting & Sports,"A competitive debate event requiring argument preparation, teamwork, rapid response, and public speaking."
EVT008,Campus Fitness Team Session,Igniting & Sports,"A group fitness activity focused on participation, discipline, teamwork, and physical wellbeing."
EVT009,Student Policy Forum,Temperance & Justice,"A forum for discussing student governance, campus rules, accountability, and policy proposals."
EVT010,Sustainability Action Committee,Temperance & Justice,"A committee project reviewing environmental initiatives, stakeholder needs, and practical implementation."
